seed,value_delta_musd,cvar95_loss_reduction_kusd_h,imbalance_reduction_gwh
71000,43.561625873197315,5.333831090737716,816.5122710731104
71001,44.541179277840136,5.503630269360729,850.6602762487829
71011,41.99827531723476,5.1813995638107295,761.8724783558231
71021,42.83766917374373,4.4954477539759825,774.2494872982855
71031,45.81611861884343,7.226035075869062,839.4333460338693
71041,44.19551143753648,6.297741933020414,824.0103986064792
71051,42.200439727257965,5.267085640368576,796.3235097409822
71061,44.44796077673304,6.699588725877926,845.746262170637
71071,43.359420725432756,5.92508573323075,817.2910964493584
71081,42.19916505074036,5.557776300711325,791.121232169589
