metric,mean,ci95_low,ci95_high,unit,seed_count,paired_t_p_value
Value gain,34.84552893337637,34.12231338855716,35.56874447819558,M USD,10,2.3383342676879748e-15
CVaR95 loss reduction,9.61503722472867,9.270663399175852,9.959411050281489,k USD/h,10,3.1540931052361543e-13
Imbalance reduction,734.7341286760081,720.3757875590607,749.0924697929556,GWh,10,1.360628114534755e-15
