comparison,strategy,scenario_source,pv_scenario,rt_scenario,anchor,lp_weight,seed_count,value_musd,cvar95_loss_kusd_h,imbalance_gwh,value_delta_musd_vs_rule,cvar_delta_kusd_h_vs_rule,imbalance_delta_gwh_vs_rule,value_delta_musd_vs_no_text,cvar_delta_kusd_h_vs_no_text,imbalance_delta_gwh_vs_no_text
validation_selected,CAISO public forecast anchor,CAISO public PV forecast + settlement price baseline,CAISO public forecast,Settlement price baseline,CAISO public PV forecast,,1,805.1302996657007,454.51949856661184,12526.176474285712,-29.181328799021912,19.97860404845449,635.3626471196822,-41.43099619376744,8.527306206643402,-195.01560613059155
validation_selected,No-text hybrid blend,PV MLP no-text + RT Transformer no-text,MLP no-text,Transformer no-text,MLP rule-core,0.25,10,846.5612958594681,463.0468047732553,12331.16086815512,12.24966739474553,11.451297841811083,830.3782532502737,0.0,0.0,0.0
validation_selected,LLM cloud-rule no-text-anchor hybrid blend,PV MLP LLM rule-cloud + RT Transformer LLM-rule + no-text PV anchor,MLP LLM cloud-rule,Transformer LLM-rule,MLP no-text,0.25,10,881.4068247928445,453.4317675485265,11596.426739479111,47.095196328121915,21.066335066539807,1565.112381926283,34.845528933376386,9.61503722472878,734.7341286760093
validation_selected,Rule-core hybrid blend,PV MLP rule-core + RT Transformer rule-text,MLP rule-core,Transformer rule-text,MLP rule-core,0.5,10,834.3116284647226,474.49810261506633,13161.539121405394,0.0,0.0,0.0,-12.24966739474553,-11.451297841811083,-830.3782532502737
validation_selected,Pure LLM cloud-rule LP,PV MLP LLM rule-cloud + RT Transformer LLM-rule,MLP LLM cloud-rule,Transformer LLM-rule,,1.0,10,888.1564081426939,503.5006668543496,13436.333474063356,53.844779677971246,-29.00256423928323,-274.794352657962,41.59511228322572,-40.45386208109432,-1105.1726059082357
validation_selected,LLM cloud-rule hybrid blend,PV MLP LLM rule-cloud + RT Transformer LLM-rule,MLP LLM cloud-rule,Transformer LLM-rule,MLP rule-core,0.5,10,877.8273650625788,468.74934040637,12349.817085590705,43.515736597856176,5.748762208696348,811.7220358146897,31.266069203110646,-5.702535633114735,-18.65621743558404
fixed_w_0.50,Rule-core hybrid blend,PV MLP rule-core + RT Transformer rule-text,MLP rule-core,Transformer rule-text,MLP rule-core,0.5,10,834.3116284647226,474.49810261506633,13161.539121405394,0.0,0.0,0.0,-12.24966739474553,-11.451297841811083,-830.3782532502737
fixed_w_0.50,LLM cloud-rule hybrid blend,PV MLP LLM rule-cloud + RT Transformer LLM-rule,MLP LLM cloud-rule,Transformer LLM-rule,MLP rule-core,0.5,10,877.8273650625788,468.74934040637,12349.817085590705,43.515736597856176,5.748762208696348,811.7220358146897,31.266069203110646,-5.702535633114735,-18.65621743558404
