local_date,has_extreme_event,event_types,value_delta_kusd,absolute_imbalance_reduction_mwh,pv_reference_rmse_mw,pv_llm_rmse_mw,pv_rmse_improvement_pct
2024-01-01,0,,114.99102914533188,1356.8694126577484,1162.9116533785107,1018.5413007548358,12.414558939558967
2024-01-02,0,,47.64148531564057,761.3571426439776,1277.739200117914,1166.0217547130228,8.743368395880902
2024-01-03,1,Flood,-45.68862676330551,-399.74168713886684,794.8979579472649,781.0345303504361,1.7440512279877525
2024-01-04,0,,8.361148778464386,379.9388054524861,1364.497379685933,1252.9851540526645,8.17240306162665
2024-01-05,0,,8.901547516896269,396.63322772488027,1067.8973283392202,1021.154437951772,4.37709591989916
2024-01-06,0,,-3.4334876004353974,-538.1334266273116,1339.7900446188928,1329.493883811945,0.7684906189817736
2024-01-07,0,,90.55667322932568,1859.2533584228877,1880.4334396400093,1787.9776842496162,4.916725763401273
2024-01-08,0,,-20.315388706481013,-589.5193268586681,979.0096759460313,1071.4748434577468,-9.444765438335951
2024-01-09,0,,-42.73735473496349,1280.9420642366094,808.5380802793276,672.2543310281725,16.85557583188572
2024-01-10,0,,8.494373529656343,635.3745916437729,576.8507824016359,504.1667508560843,12.600144398338509
2024-01-11,0,,32.69750472163913,24.367651391090476,671.9505361181875,688.0381620744745,-2.3941681852393595
2024-01-12,0,,-88.12848001377938,-1602.9573978978442,2828.6426470468837,2676.6193370532433,5.374426145782446
2024-01-13,0,,-7535.388989733682,-157348.1942263321,366.53232943849946,358.67185682152706,2.1445509674451
2024-01-14,0,,-4192.54411827913,-146459.06037101572,930.3032849835843,979.1920252541886,-5.2551400236608865
2024-01-15,0,,-4204.954451842248,-187308.12592929023,611.2039591178351,710.2360624737224,-16.202791536040223
2024-01-16,0,,-5774.293876349665,-146481.17788726173,455.2297096654993,590.7989559224795,-29.780403910060247
2024-01-17,0,,311.6739559536417,5508.351166469027,1174.0050850818232,1103.8740699616578,5.973655140963678
2024-01-18,0,,-120.826754822923,-2157.66339847965,613.0472061627044,745.95464211121,-21.679804526053356
2024-01-19,0,,21.02640170872551,476.9907698393963,586.042223792733,594.3520661194917,-1.4179596604796303
2024-01-20,1,Flood|Heavy Rain,73.69298263645618,757.3625643766318,442.7218481432717,355.216396413226,19.765333944334184
2024-01-21,1,Flood,-39.90292088669891,-761.68472094975,1018.1295394608069,1104.7920516083882,-8.511933775487652
2024-01-22,1,Flash Flood|Flood|Heavy Rain|Lightning|Thunderstorm Wind,-41.81390516765145,-1065.6998239161858,434.8037976507829,582.4382363241782,-33.95426614741057
2024-01-23,0,,-111.76869089223587,-2039.4309990081965,516.9547983572321,730.3563096919758,-41.280497252929344
2024-01-24,0,,-3.681763971095761,-62.30219074474917,614.8578105328214,553.5637807101349,9.968813727773995
2024-01-25,0,,75.75272417839939,1293.678049172413,1475.8647538355722,1454.749690767748,1.4306909229283364
2024-01-26,0,,68.49444551183282,1111.937591769236,949.7487495225854,1061.4636405384142,-11.762573109149663
2024-01-27,0,,-81.22206094452565,-827.2065168964709,710.3265985826976,900.5560290522083,-26.78055852745374
2024-01-28,0,,30.7120323228687,461.14811454171286,753.6786572783546,915.3960821523272,-21.45707899676476
2024-01-29,0,,32.56451146482539,612.1605170034527,1655.7734084260935,1715.3401114270548,-3.597515378483027
2024-01-30,0,,-12.062814386557115,-633.589855294078,631.2861492147009,609.1995544383597,3.4986661443176366
2024-01-31,1,Flood,68.1797848639643,1322.5409048565052,1142.8251849666751,1147.9665693084337,-0.44988371007141303
2024-02-01,1,Flash Flood|Flood|Funnel Cloud|Heavy Rain,-38.85183025225946,-973.1251611050066,480.66097265107777,559.7441292896024,-16.453001416433445
2024-02-02,0,,-75.31695645863822,-1166.7859504162625,1836.6268984866133,2022.5261150407825,-10.121773600688895
2024-02-03,1,Flood,-3.4487644961535042,-86.57077809597831,566.7961375118891,584.3637582777073,-3.0994602120854644
2024-02-04,1,Debris Flow|Flash Flood|Flood|Heavy Rain|Thunderstorm Wind,-94.0095185870796,-1614.1160403505255,913.5833400661136,993.1137789208941,-8.705329373565977
2024-02-05,1,Debris Flow|Flash Flood|Flood,3.2341323758829894,-341.5580322318001,545.7097107242007,522.3749804926435,4.276033534494025
2024-02-06,1,Debris Flow|Flash Flood|Flood|Funnel Cloud,-115.63216689482859,-4163.083992662352,1009.8536027937614,1191.1633877693448,-17.954066260098454
2024-02-07,1,Thunderstorm Wind|Tornado,-141.96649740327268,-2423.394013405148,1703.973041130569,1566.8217532219528,8.048911842972455
2024-02-08,0,,11.807280708266807,-68.3508905650524,633.1894148298117,800.9834320800614,-26.49981400831683
2024-02-09,0,,-73.73653826003664,-2037.0025919071613,738.0932304902873,1047.4995797413987,-41.919683919277325
2024-02-10,0,,15.312222184841087,-146.0618621374233,1925.3320926570943,2071.0004348556363,-7.565881374652065
2024-02-11,0,,-109.47874178631822,-1917.9206000207305,974.3599608068187,1093.8636707854837,-12.26484202816688
2024-02-12,0,,-89.41102306747763,-1109.1727022374544,1063.2735407580649,1157.7357612196618,-8.884093964592562
