metric,column,mean,ci95_low,ci95_high,unit,seed_count,positive_seed_count,paired_t_p_value
Value gain,value_delta_musd,12.28245091511954,11.573241242018566,12.991660588220514,M USD,10,10,2.2865698859925306e-11
CVaR95 loss reduction,cvar95_loss_reduction_kusd_h,6.509099062587891,6.205451318676478,6.812746806499304,k USD/h,10,10,3.3808150099232626e-12
Imbalance reduction,imbalance_reduction_gwh,248.22004184207472,234.4918928618962,261.94819082225325,GWh,10,10,1.5545679807891863e-11
